material_id,formula,formation_energy,band_gap,atom_volume,density,G,K,cohesive_energy,Weight g/mol,SiO2,CaO,MgO,Al2O3,Num_atom,Ca,Mg,Al,Si,Na,O
mp-546794,SiO2,-3.285,5.703,15.62,2.117,34,27,-7.085997883,60.08,1,0,0,0,3,0,0,0,1,0,2
mp-1265,MgO,-3.065,4.445,9.64,3.471,119,151,-5.520454709,40.3044,0,0,1,0,2,0,1,0,0,0,1
mp-2605,CaO,-3.312,3.634,14.17,3.287,74,105,-5.968286706,56.0774,0,1,0,0,2,1,0,0,0,0,1
mp-1143,Al2O3,-3.442,5.854,8.74,3.873,147,232,-6.895958671,101.96,0,0,0,1,5,0,0,2,0,0,3
mp-3536,MgAl2O4,-3.389,5.109,9.74,3.465,96,180,-6.557671825,142.2644,0,0,1,1,7,0,1,2,0,0,4
mp-33318,Ca11Al14O32,-3.459,3.372,15.58,2.489,84,56,-6.605085281,1330.5714,0,11,0,7,57,11,0,14,0,0,32
mp-4867,CaAl4O7,-3.478,3.998,12.79,2.813,46,144,-6.799013344,259.9974,0,1,0,2,12,1,0,4,0,0,7
mp-14600,CaAl2O4,-3.465,4.391,12.92,2.901,43,74,-6.691052395,158.0374,0,1,0,1,7,1,0,2,0,0,4
mp-17694,Ca5Al6O14,-3.453,4.226,13.12,2.968,72,106,-6.587889885,586.267,0,5,0,3,25,5,0,6,0,0,14
mp-2895,Mg2SiO4,-3.236,4.639,10.71,3.116,74,119,-6.268116069,140.6888,1,0,2,0,7,0,2,0,1,0,4
mp-5733,CaSiO3,-3.461,4.881,13.69,2.819,47,92,-6.804113412,116.1574,1,1,0,0,5,1,0,0,1,0,3
mp-4481,Ca2SiO4,-3.487,4.199,14.14,2.891,49,90,-6.63387721,172.2348,1,2,0,0,7,2,0,0,1,0,4
mp-1019570,Ca8Si5O18,-3.478,4.545,13.82,2.904,68,100,-6.688179211,749.0192,5,8,0,0,31,8,0,0,5,0,18
mp-585516,Ca3Si2O7,-3.474,4.62,13.75,2.902,68,100,-6.702642294,288.3922,2,3,0,0,12,3,0,0,2,0,7
mp-4753,Al2SiO5,-3.391,4.836,11.03,3.051,89,142,-6.975098375,162.04,1,0,0,1,8,0,0,2,1,0,5
mp-6174,Mg2Al4Si5O18,-3.349,4.817,13.81,2.425,50,122,-6.844737027,584.9288,5,0,2,2,29,0,2,4,5,0,18
mp-6532,CaAl2(SiO4)2,-3.441,4.945,13.33,2.665,74,115,-6.932411851,278.1974,2,1,0,1,13,1,0,2,2,0,8
mp-1227499,Ca2Al2SiO7,-3.477,4.315,12.84,2.955,76,113,-6.751827819,274.1948,1,2,0,1,12,2,0,2,1,0,7
mp-6008,Ca3Al2(SiO4)3,-3.459,4.993,10.72,3.49,97,154,-6.829824727,450.4322,3,3,0,1,20,3,0,2,3,0,12
mp-6493,CaMgSiO4,-3.378,4.629,12.55,2.957,54,101,-6.46749664,156.4618,1,1,1,0,7,1,1,0,1,0,4
mp-6766,CaMg(SiO3)2,-3.361,4.972,11.42,3.149,64,102,-6.663947013,216.5418,2,1,1,0,10,1,1,0,2,0,6
